DJ Screw, 8Ball	Space Age Pimpin'	3 'n the Mornin'		
Liv.e	Mtume Snap	Hoopdreams		
TLC	My Life	Fanmail		
Mobb Deep	More Trife Life	Hell on Earth		
Dirty Bird and ICEDOUTOMNITRIX	Expensive Taste	Mcfly		Gum Studio
Andres	You're Still the One	Out in the Open		
Everything But The Girl	Before Today	Walking Wounded		
Roger Sanchez	Another Chance - Radio Edit	Another Chance		Sony Music
Skee Mask	CZ3000 Dub	ITLP09		Skee Mask
Aphex Twin	IZ-US	Come To Daddy		
Rosinha De Valença	Asa Branca	Um Violão em Primeiro Plano		BMG Brasil
Big Thief	UFOF	U.F.O.F.		4AD Ltd